method,split,k,group_type,group_name,count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,latency_ms_p95,text_read_tokens,evidence_gain_step2,stop_accuracy
dense,final,1,overall,overall,180,0.7277777777777777,0.4888888888888889,0.4888888888888889,0.7277777777777777,1.0,166.9608716659248,168.72355999549228,400.06111111111113,,
dense,final,3,overall,overall,180,0.8666666666666667,0.6777777777777778,0.6777777777777778,0.7907407407407407,1.0,166.9608716659248,168.72355999549228,400.06111111111113,,
dense,final,5,overall,overall,180,0.9166666666666666,0.7444444444444445,0.7444444444444445,0.8018518518518518,1.0,166.9608716659248,168.72355999549228,400.06111111111113,,
dense,final,1,task_type,exact_file_lookup,60,0.65,0.65,0.65,0.65,1.0,167.0367466645936,168.3719100077947,385.18333333333334,,
dense,final,1,task_type,multi_hop_relation,60,0.7166666666666667,0.0,0.0,0.7166666666666667,1.0,166.88683500140905,169.0265649964412,420.68333333333334,,
dense,final,1,task_type,semantic_fact,60,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,1.0,166.9590333317717,168.52045999666055,394.31666666666666,,
dense,final,3,task_type,exact_file_lookup,60,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7027777777777777,1.0,167.0367466645936,168.3719100077947,385.18333333333334,,
dense,final,3,task_type,multi_hop_relation,60,0.8833333333333333,0.31666666666666665,0.31666666666666665,0.7916666666666666,1.0,166.88683500140905,169.0265649964412,420.68333333333334,,
dense,final,3,task_type,semantic_fact,60,0.95,0.95,0.95,0.8777777777777778,1.0,166.9590333317717,168.52045999666055,394.31666666666666,,
dense,final,5,task_type,exact_file_lookup,60,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7177777777777777,1.0,167.0367466645936,168.3719100077947,385.18333333333334,,
dense,final,5,task_type,multi_hop_relation,60,0.9666666666666667,0.45,0.45,0.81,1.0,166.88683500140905,169.0265649964412,420.68333333333334,,
dense,final,5,task_type,semantic_fact,60,0.95,0.95,0.95,0.8777777777777778,1.0,166.9590333317717,168.52045999666055,394.31666666666666,,
file_fts,final,1,overall,overall,180,0.85,0.5722222222222222,0.5722222222222222,0.85,1.0,6.782894443472227,15.26346001103518,480.35,,
file_fts,final,3,overall,overall,180,0.9666666666666667,0.7555555555555555,0.7555555555555555,0.9046296296296297,1.0,6.782894443472227,15.26346001103518,480.35,,
file_fts,final,5,overall,overall,180,0.9833333333333333,0.7888888888888889,0.7888888888888889,0.9087962962962963,1.0,6.782894443472227,15.26346001103518,480.35,,
file_fts,final,1,task_type,exact_file_lookup,60,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,10.504876665274303,18.66717500165105,496.9166666666667,,
file_fts,final,1,task_type,multi_hop_relation,60,0.8333333333333334,0.0,0.0,0.8333333333333334,1.0,5.626024999966224,15.2634600110352,461.23333333333335,,
file_fts,final,1,task_type,semantic_fact,60,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,1.0,4.217781665176153,10.261990017443894,482.9,,
file_fts,final,3,task_type,exact_file_lookup,60,0.95,0.95,0.95,0.8861111111111111,1.0,10.504876665274303,18.66717500165105,496.9166666666667,,
file_fts,final,3,task_type,multi_hop_relation,60,0.9666666666666667,0.3333333333333333,0.3333333333333333,0.8944444444444445,1.0,5.626024999966224,15.2634600110352,461.23333333333335,,
file_fts,final,3,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9333333333333333,1.0,4.217781665176153,10.261990017443894,482.9,,
